model_pair,metric,sample_size,n_trials,mean_ci_width,std_ci_width,empirical_coverage,mean_point_estimate,std_point_estimate,fraction_significant,median_p_value,coverage_se,nominal_ci_level,full_sample_estimate
m5v9,coherence,25,500,0.8402706666666663,0.10647214679110603,0.952,-0.5820533333333332,0.1951312453060203,0.704,0.017,0.009559916317625384,0.95,-0.566666666666666
m5v9,coherence,50,500,0.6029209999999998,0.04125930369632083,0.99,-0.5539733333333332,0.10971893486136292,0.986,0.001,0.0044497190922574,0.95,-0.566666666666666
m5v9,coherence,100,500,0.42862066666666654,0.008841010175417855,1.0,-0.5666666666666668,8.425062173902047e-16,1.0,0.0,0.0,0.95,-0.566666666666666
