dimension,n,pearson_r,pearson_p,spearman_r,spearman_p,mean_absolute_error,mean_signed_error
coherence,100,0.55042057827182,2.982511493994557e-09,0.5183829747041849,3.307682264490177e-08,0.74,-0.4533333333333333
consistency,100,0.5506611018075227,2.926285914887836e-09,0.36028880413543873,0.00023136225449944822,1.1066666666666667,-1.0466666666666666
fluency,100,0.1550467023769058,0.12348618987192465,0.23073260015885255,0.020911755994082987,1.6,-1.56
relevance,100,0.48257499199240317,3.687152760005401e-07,0.4461755547519119,3.279145128034136e-06,0.5966666666666667,-0.1366666666666666
